0,u,v,w
-20_-4_-5',0.0259820262908477,0.0493365608881727,0.0365091981280105
-20_-4_-4',0.0300912473867471,0.0490560927780001,0.0354757776435455
-20_-4_-3',0.0290596238255733,0.046022327319308,0.0309667101644326
-20_-4_-2',0.0269563152037927,0.0462034666154528,0.0331377340414722
-20_-4_-1',0.0291754489273109,0.0464350616325068,0.0309823503399773
-20_-4_0',0.0295554229514811,0.0426768288302519,0.0289806396974084
-20_-4_1',0.0274209035302651,0.0424068748089366,0.0286273481494139
-20_-4_2',0.0327410530649808,0.0451874328343746,0.0316634211187478
-20_-4_3',0.0393258834471991,0.0425181400254895,0.0320607065088291
-20_-4_4',0.0381897321931282,0.0451040535157333,0.0362587786670712
-20_-4_5',0.0424782992778384,0.0508716210825104,0.0382567351306368
-20_-4_6',0.0549242574359815,0.0538386123092314,0.0401080901893711
-20_-4_7',0.0543274048464754,0.0598282924495191,0.0439808965436373
-20_-4_8',0.0783228699072733,0.0682238294986358,0.0515689784832409
-20_-4_9',0.0784171520837261,0.0802307097532488,0.0603516406425705
-20_-4_10',0.0970013458502574,0.102498253682709,0.0622899244646705
-20_-4_11',0.114508798680012,0.162002444284774,0.10021161498148
-20_-4_12',0.380004602699237,0.698951362201986,0.239247436614313
-20_-4_13',0.469900285536311,0.781931983260872,0.316577041350827
-20_-4_14',0.320932868245058,0.74727991349962,0.364640077226845
-20_-3_-15',0.0488777891079285,0.125980586578523,0.115059326069547
-20_-3_-14',0.0561625917907421,0.120311858818541,0.099108179961892
-20_-3_-13',0.055394189384524,0.101180628205329,0.0876623131646422
-20_-3_-12',0.0402214580372819,0.0842469202618713,0.0763698432267992
-20_-3_-11',0.0363440444259291,0.0814039550093175,0.0691537397652155
-20_-3_-10',0.0407776622632969,0.0751673642753768,0.0597819731088268
-20_-3_-9',0.0350448899800191,0.0684041763415023,0.0504047435051111
-20_-3_-8',0.0339642998875944,0.066909446069735,0.0491315078408387
-20_-3_-7',0.0284090931901871,0.05914632762692,0.042706323186182
-20_-3_-6',0.030868186302453,0.058617880803372,0.0431041477500621
-20_-3_-5',0.0288321786368077,0.0549326526012993,0.0386110483559843
-20_-3_-4',0.0307546249016261,0.0525762830011015,0.0356762342022126
-20_-3_-3',0.0318199118474177,0.0542148490601217,0.0380762329186323
-20_-3_-2',0.0308274102193296,0.0514237351272214,0.0356997309631441
-20_-3_-1',0.0323408831187597,0.0506908301324382,0.0340414733703085
-20_-3_0',0.0304717832389797,0.0475608420188902,0.0302050796194806
-20_-3_1',0.0292750524302751,0.0508035436468546,0.0326893430526878
-20_-3_2',0.0313498130902245,0.0488277085871867,0.0318905976914386
-20_-3_3',0.0376133543411061,0.0493825258119627,0.0343828653820087
-20_-3_4',0.0498543365285385,0.0521109308556223,0.0347787731473386
-20_-3_5',0.0450764919490444,0.058687616759659,0.0413160498801929
-20_-3_6',0.053501375223489,0.0588643847105856,0.047497491755456
-20_-3_7',0.0680516540442978,0.0685782219706602,0.0454904568432226
-20_-3_8',0.0731607737083866,0.0710489567382786,0.0517946561049619
-20_-3_9',0.076183264724078,0.0806651006987314,0.0585851337560472
-20_-3_10',0.0769919533354818,0.119029969468497,0.0740855490385991
-20_-3_11',0.269603476120446,0.393540453306195,0.309876561434818
-20_-3_12',0.221345230577794,0.377507608075774,0.170932254693034
-20_-3_13',0.375106295979214,0.757218032054916,0.493912917555031
-20_-3_14',0.31880923264852,1.28014632268467,0.442647273237827
-20_-2_-15',0.0455862668255056,0.120815519294132,0.0990513688863829
-20_-2_-14',0.0535650903471775,0.103921078302329,0.0978143665972423
-20_-2_-13',0.0439674659576069,0.0887181500339581,0.0816586988007969
-20_-2_-12',0.0484561738113781,0.0887793862293128,0.0790865752285499
-20_-2_-11',0.0345520789794024,0.0797444444193506,0.0651351002556444
-20_-2_-10',0.0397338181613616,0.0720402000326668,0.054772618240681
-20_-2_-9',0.0426475832440568,0.0696537865614627,0.0485679808081057
-20_-2_-8',0.0460125133336445,0.0641245603715817,0.0454200736461421
-20_-2_-7',0.0305934328391399,0.0648742026349227,0.0489664120896482
-20_-2_-6',0.0413684064289953,0.0608752390083756,0.0446078447444942
-20_-2_-5',0.0314659108548393,0.0572096158178313,0.0398385309982407
-20_-2_-4',0.0297087365450294,0.0593091545688166,0.0413841005972668
-20_-2_-3',0.0315845456829076,0.0590095012428485,0.0356714112038362
-20_-2_-2',0.0320291734636862,0.0567859645102421,0.0368495878979976
-20_-2_-1',0.0285141814657086,0.0563519494369015,0.0343357580090229
-20_-2_0',0.0288392702064769,0.0533756416586108,0.0325507309093212
-20_-2_1',0.0317414794679974,0.0560063948376863,0.03279529143573
